src,dst,relationship
"Recife","Olinda","Favorito"
"Recife","Caruaru","Favorito"
"Recife","Tamandare","Favorito"
"Caruaru","Tamandare","Barro"
"Caruaru","Gravata","Perigoso"
"Gravata","Recife","Barro"
"Caruaru","Olinda","Barro"
"Olinda","Gravata","Perigoso"
"Cabrobo","Recife","Barro"
"Cabrobo","Gravata","Perigoso"
"Recife","Garanhuns","Favorito"
"Recife","Gravata","Barro"
"Recife","Cabrobo","Favorito"
"Cabrobo","Olinda","Favorito"
"Carpina","Olinda","Barro"
"Carpina","Gravata","Perigoso"
"Garanhuns","Gravata","Perigoso"
"Garanhuns","Recife","Favorito"
"Garanhuns","Buique","Favorito"
"Buique","Floresta","Perigoso"
"Buique","Carpina","Barro"
"Buique","Cabrobo","Barro"
"Olinda","Buique","Barro"
"Floresta","Gravata","Perigoso"
"Floresta","Recife","Favorito"
"Tamandare","Buique","Favorito"
"Cabrobo","Floresta","Perigoso"
"Buique","Tamandare","Barro"
"Tamandare","Cabrobo","Barro"
"Olinda","Tamandare","Favorito"
